dose,weight,gesttime,number
0,28.05,22.5,15
0,33.33,22.5,14
0,36.37,22,14
0,35.52,22,13
0,36.77,21.5,15
0,29.6,23,5
0,27.72,21.5,16
0,33.67,22.5,15
0,32.55,22.5,14
0,32.78,21.5,15
0,31.05,22,12
0,33.4,22.5,15
0,30.2,22,16
0,28.63,21.5,7
0,33.38,22,15
0,33.43,22,13
0,29.63,21.5,14
0,33.08,22,15
0,31.53,22.5,16
0,35.48,22,9
5,34.83,22.5,15
5,26.33,22.5,7
5,24.28,22.5,15
5,38.63,23,9
5,27.92,22,13
5,33.85,22.5,13
5,24.95,22.5,17
5,33.2,22.5,15
5,36.03,22.5,12
5,26.8,22,13
5,31.67,22,14
5,30.33,21.5,12
5,26.83,22.5,14
5,32.18,22,13
5,33.77,22.5,16
5,21.3,21.5,9
5,25.78,21.5,14
5,19.9,21.5,12
5,28.28,22.5,16
50,31.28,22,16
50,35.8,21.5,16
50,27.97,21.5,14
50,33.13,22.5,15
50,30.6,22.5,15
50,30.17,21.5,15
50,27.07,21.5,14
50,32.02,22,17
50,36.72,22.5,13
50,28.5,21.5,14
50,21.58,21.5,16
50,30.82,22.5,17
50,30.55,22,14
50,27.63,22,14
50,22.97,22,12
50,29.55,21.5,12
50,31.93,22,14
50,29.3,21.5,16
500,24.55,22,7
500,33.78,22.5,13
500,32.98,22,10
500,25.38,21.5,11
500,30.32,22,15
500,19.22,22.5,11
500,26.37,21.5,14
500,28.6,22.5,9
500,19.7,22,11
500,32.88,22.5,15
500,26.12,22.5,13
500,33.2,22,12
500,32.97,22.5,14
500,38.75,23,16
500,33.15,22.5,12
500,30.7,21.5,13
500,35.32,22,17
