   ,DRUG_CODE,DRUG_SPEC,FIRM_ID,UNITS,TRADE_PRICE,RETAIL_PRICE,AMOUNT_PER_PACKAGE,MIN_SPEC,MIN_UNITS,CLASS_ON_INP_RCPT,CLASS_ON_OUTP_RCPT,CLASS_ON_RECKONING,SUBJ_CODE,CLASS_ON_MR,START_DATE,STOP_DATE,MAX_RETAIL_PRICE,GMP,CGLX
1,400002300,1mg,湖北制药,片,0.0523,0.0603,1,1mg,片,A,A,A01,A01,C,2011/5/7 10:57,2013/4/18 10:05,,Y,4
2,400002300,1mg,上海信谊药,片,0.0523,0.0603,1,1mg,片,A,A,A01,A01,C,2011/5/7 10:57,2011/5/7 11:10,,Y,4
3,400003600,4mg,南京新百,支,10,10,1,4mg,支,A,A,A01,A01,C,2011/5/10 16:20,,,Y,4
4,101003000,1g,苏州东瑞,瓶,3.45,3.45,1,1g,瓶,A,A,A01,A01,C,2011/5/19 8:58,,,Y,4
5,500002600,1片*24,贵州百灵,盒,2.61,2.61,24,1片,片,A,A,A01,A01,C,2011/5/21 10:05,,,Y,4
6,500002600,1片,贵州百灵,片,0.1088,0.1088,1,1片,片,A,A,A01,A01,C,2011/5/21 10:05,,,Y,4
7,1900057401,3g,江西衷济,瓶,15,18,1,3g,瓶,C,C,A03,A03,E,2011/6/9 9:51,2012/9/27 10:11,,Y,4
8,1900057402,3g,江西衷济,瓶,10.83,12.996,1,3g,瓶,C,C,A03,A03,E,2011/6/9 9:52,2012/9/27 10:07,,Y,4
9,1900057403,3g,江西衷济,瓶,8.33,9.996,1,3g,瓶,C,C,A03,A03,E,2011/6/9 9:52,2012/9/27 10:09,,Y,4
10,1900057404,5g,江西衷济,瓶,14.17,17.004,1,5g,瓶,C,C,A03,A03,E,2011/6/9 9:53,2012/9/27 10:12,,Y,4
11,1900057405,3g,江西衷济,瓶,14.17,17.004,1,3g,瓶,C,C,A03,A03,E,2011/6/9 9:54,2012/9/27 10:10,,Y,4
12,500002300,2000ml:2.5%,广州百特侨,瓶,34,39.1,1,2000ml:2.5%,瓶,A,A,A01,A01,C,2011/6/18 10:28,2013/2/5 17:00,,Y,4
13,101007900,0.6g:2ml,江苏吴中,支,0.81,0.81,1,0.6g:2ml,支,A,A,A01,A01,C,2011/10/9 10:34,,,Y,4
14,900000600,2mg,山东圣鲁,片,0.016,0.016,1,2mg,片,A,A,A01,A01,C,2011/11/16 9:29,2017/4/1 16:02,,Y,4
15,900000600,2mg*100,山东圣鲁,瓶,1.6,1.6,100,2mg,片,A,A,A01,A01,C,2011/11/16 9:29,2017/4/1 16:01,,Y,4
16,1400000700,1mg*12,扬子江江苏,盒,7.49,7.49,12,1mg,粒,A,A,A01,A01,C,2011/12/23 17:00,,,,4
17,1400000700,1mg,扬子江江苏,粒,0.6242,0.6242,1,1mg,粒,A,A,A01,A01,C,2011/12/23 17:00,,,,4
18,101008300,8wu:2ml,河南天方,支,0.36,0.36,1,8wu:2ml,支,A,A,A01,A01,C,2012/1/13 13:28,,,Y,4
19,600001100,250ml,广东利泰,瓶,116.99,116.99,1,250ml,瓶,A,A,A01,A01,C,2012/1/13 15:40,,,Y,4
20,800006200,0.5mg,安斯泰来,粒,13.8338,13.8338,1,0.5mg,粒,A,A,A01,A01,C,2012/1/13 16:22,,,Y,4
21,800006200,0.5mg*50,安斯泰来,瓶,691.69,691.69,50,0.5mg,粒,A,A,A01,A01,C,2012/1/13 16:22,,,Y,4
22,500003000,复方,成都天台山,盒,65.98,65.98,1,复方,盒,A,A,A01,A01,C,2012/1/14 9:20,,,Y,4
23,1900011600,1g*1000,江西仁翔药,千克,22.1,27.6,1000,1g,克,C,C,A03,A03,E,2013/11/25,,,Y,4
24,1900000300,1g,安徽省亳州,克,5.448,6.2652,1,1g,克,C,C,A03,A03,E,2012/6/8,,,Y,4
25,1900000300,1g*1000,安徽省亳州,千克,5448,6265.2,1000,1g,克,C,C,A03,A03,E,2012/6/8,,,Y,4
26,1900010700,1g,安徽省亳州,克,0.0286,0.0357,1,1g,克,C,C,A03,A03,E,2011/7/13,2015/5/20 9:23,,Y,4
27,1900010700,1g*1000,安徽省亳州,千克,28.5714,35.7143,1000,1g,克,C,C,A03,A03,E,2011/7/13,2015/5/20 9:23,,Y,4
28,1900009800,1g,安徽省亳州,克,0.0386,0.0482,1,1g,克,C,C,A03,A03,E,2012/9/25,,,Y,4
29,1900009800,1g*1000,安徽省亳州,千克,38.6,48.2,1000,1g,克,C,C,A03,A03,E,2012/9/25,,,Y,4
30,1900005400,1g,江西仁翔药,克,0.071,0.0888,1,1g,克,C,C,A03,A03,E,2011/3/29 22:11,2016/3/22 11:03,,Y,4
31,1900005400,1g*1000,江西仁翔药,千克,71.04,88.8,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:11,2016/3/22 11:03,,Y,4
32,1900003900,1g,安徽省亳州,克,0.0657,0.0821,1,1g,克,C,C,A03,A03,E,2014/8/20,2015/8/20 11:04,,Y,4
33,1900003900,1g*1000,安徽省亳州,千克,65.7,82.1,1000,1g,克,C,C,A03,A03,E,2014/8/20,2015/8/20 11:04,,Y,4
34,1900007000,1g,江西仁翔药,克,0.0857,0.1071,1,1g,克,C,C,A03,A03,E,2012/8/5,2013/12/17 17:00,,Y,4
35,1900007000,1g*1000,江西仁翔药,千克,85.7,107.1,1000,1g,克,C,C,A03,A03,E,2012/8/5,2013/12/17 17:00,,Y,4
36,1900011700,1g,安徽省亳州,克,0.1114,0.1393,1,1g,克,C,C,A03,A03,E,2013/9/26,2015/2/13 9:26,,Y,4
37,1900011700,1g*1000,安徽省亳州,千克,111.4,139.3,1000,1g,克,C,C,A03,A03,E,2013/9/26,2015/2/13 9:26,,Y,4
38,1900005300,1g,江西仁翔药,克,0.056,0.07,1,1g,克,C,C,A03,A03,E,2014/8/20,,,Y,4
39,1900005300,1g*1000,江西仁翔药,千克,56,70,1000,1g,克,C,C,A03,A03,E,2014/8/20,,,Y,4
40,1900011800,1g,江西仁翔药,克,0.1143,0.1429,1,1g,克,C,C,A03,A03,E,2012/9/25,,,Y,4
41,1900011800,1g*1000,江西仁翔药,千克,114.3,142.9,1000,1g,克,C,C,A03,A03,E,2012/9/25,,,Y,4
42,1900011000,1g,安徽省亳州,克,0.1029,0.1286,1,1g,克,C,C,A03,A03,E,2011/10/1,2013/12/18 17:00,,Y,4
43,1900011000,1g*1000,安徽省亳州,千克,102.9,128.6,1000,1g,克,C,C,A03,A03,E,2011/10/1,2013/12/18 17:00,,Y,4
44,1900003500,1g,江西仁翔药,克,0.1357,0.1696,1,1g,克,C,C,A03,A03,E,2013/7/21,2014/3/20 11:23,,Y,4
45,1900003500,1g*1000,江西仁翔药,千克,135.7,169.6,1000,1g,克,C,C,A03,A03,E,2013/7/21,2014/3/20 11:23,,Y,4
46,1900005200,1g,江西仁翔药,克,0.0952,0.119,1,1g,克,C,C,A03,A03,E,2011/3/29 22:21,2015/10/2 10:04,,Y,4
47,1900005200,1g*1000,江西仁翔药,千克,95.2,119,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:21,2015/10/2 10:04,,Y,4
48,1900007900,1g,江西仁翔药,克,0.047,0.0588,1,1g,克,C,C,A03,A03,E,2011/3/29 22:22,,,Y,4
49,1900007900,1g*1000,江西仁翔药,千克,47.04,58.8,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:22,,,Y,4
50,1900018400,1g,安徽省亳州,克,0.265,0.3313,1,1g,克,C,C,A03,A03,E,2014/6/2,2017/5/4 8:54,,Y,4
51,1900018400,1g*1000,安徽省亳州,千克,265,331.3,1000,1g,克,C,C,A03,A03,E,2014/6/2,2017/5/4 8:54,,Y,4
52,1900021600,1g,安徽省亳州,克,0.0414,0.0518,1,1g,克,C,C,A03,A03,E,2014/7/15,2016/12/15 8:52,,Y,4
53,1900021600,1g*1000,安徽省亳州,千克,41.4,51.8,1000,1g,克,C,C,A03,A03,E,2014/7/15,2016/12/15 8:52,,Y,4
54,1900015800,1g,安徽省亳州,克,0.0929,0.1161,1,1g,克,C,C,A03,A03,E,2011/3/29 22:25,2014/1/6 17:00,,Y,4
55,1900015800,1g*1000,安徽省亳州,千克,92.88,116.1,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:25,2014/1/6 17:00,,Y,4
56,1900019200,1g,安徽省亳州,克,0.0216,0.027,1,1g,克,C,C,A03,A03,E,2011/3/29 22:26,2016/6/20 10:06,,Y,4
57,1900019200,1g*1000,安徽省亳州,千克,21.6,27,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:26,2016/6/20 10:06,,Y,4
58,1900019500,1g,安徽省亳州,克,0.1143,0.1429,1,1g,克,C,C,A03,A03,E,2011/4/15,,,Y,4
59,1900019500,1g*1000,安徽省亳州,千克,114.286,142.857,1000,1g,克,C,C,A03,A03,E,2011/4/15,,,Y,4
60,1900015900,1g,安徽省亳州,克,0.0486,0.0608,1,1g,克,C,C,A03,A03,E,2013/7/20,2014/3/20 11:32,,Y,4
61,1900015900,1g*1000,安徽省亳州,千克,48.6,60.8,1000,1g,克,C,C,A03,A03,E,2013/7/20,2014/3/20 11:32,,Y,4
62,1900022000,1g,安徽省亳州,克,0.0357,0.041,1,1g,克,C,C,A03,A03,E,2011/3/29 22:28,2015/11/27 8:57,,Y,4
63,1900022000,1g*1000,安徽省亳州,千克,35.68,41.032,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:28,2015/11/27 8:57,,Y,4
64,1900016900,1g,安徽省亳州,克,0.5,0.625,1,1g,克,C,C,A03,A03,E,2011/3/29 22:29,2011/4/21 11:20,,Y,4
65,1900016900,1g*1000,安徽省亳州,千克,500,625,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:29,2011/4/21 11:20,,Y,4
66,1900019400,1g,安徽省亳州,克,0.2643,0.3304,1,1g,克,C,C,A03,A03,E,2011/5/8,2014/10/17 15:11,,Y,4
67,1900019400,1g*1000,安徽省亳州,千克,264.29,330.36,1000,1g,克,C,C,A03,A03,E,2011/5/8,2014/10/17 15:11,,Y,4
68,1900017300,1g,安徽省亳州,克,0.3286,0.4108,1,1g,克,C,C,A03,A03,E,2014/7/15,2014/12/11 9:56,,Y,4
69,1900017300,1g*1000,安徽省亳州,千克,328.6,410.8,1000,1g,克,C,C,A03,A03,E,2014/7/15,2014/12/11 9:56,,Y,4
70,1900015000,1g,安徽省亳州,克,0.2086,0.2608,1,1g,克,C,C,A03,A03,E,2013/10/23,2014/1/6 17:00,,Y,4
71,1900015000,1g*1000,安徽省亳州,千克,208.6,260.8,1000,1g,克,C,C,A03,A03,E,2013/10/23,2014/1/6 17:00,,Y,4
72,1900021800,1g,安徽省亳州,克,0.0143,0.0179,1,1g,克,C,C,A03,A03,E,2011/3/29 22:31,2014/1/8 10:00,,Y,4
73,1900021800,1g*1000,安徽省亳州,千克,14.3,17.9,1000,1g,克,C,C,A03,A03,E,2011/3/29 22:31,2014/1/8 10:00,,Y,4
74,600000300,100单位,北京双鹤,瓶,60,60,1,100单位,瓶,A,A,A01,A01,C,2013/8/14 8:49,,,Y,4
75,800007500,1mg,金陵药业,支,152.25,152.25,1,1mg,支,A,A,A01,A01,C,2013/8/20 11:01,2014/8/1 16:47,,Y,4
76,1300002400,10mg*14,上海新亚,盒,25.2,25.2,14,10mg,片,A,A,A01,A01,C,2013/9/17 14:10,2013/10/24 15:05,,Y,4
77,1300002400,10mg,上海新亚,片,1.8,1.8,1,10mg,片,A,A,A01,A01,C,2013/9/17 14:10,2013/10/24 15:05,,Y,4
78,700000600,5mg*30,瑞阳制药,盒,8.16,8.16,30,5mg,片,A,A,A01,A01,C,2013/9/17 14:18,,,Y,4
79,700000600,5mg,瑞阳制药,片,0.272,0.272,1,5mg,片,A,A,A01,A01,C,2013/9/17 14:18,,,Y,4
80,102001000,100ml,石家庄四,瓶,12.96,12.96,1,100ml,瓶,A,A,A01,A01,C,2013/9/23 8:23,2016/11/7 11:16,,Y,4
81,1805002600,10ml*6,山东步长,盒,40.32,40.32,6,10ml,支,A,A,A01,A01,C,2013/9/23 8:29,,,Y,4
82,1805002600,10ml,山东步长,支,40.32,40.32,1,10ml,支,A,A,A01,A01,C,2013/9/23 8:29,,,Y,4
83,101002000,1.5g,南昌立健,瓶,4.79,4.79,1,1.5g,瓶,A,A,A01,A01,C,2013/10/15 9:55,,,Y,4
84,700008000,50mg*45,杭州中美华,盒,67.46,67.46,45,50mg,片,A,A,A01,A01,C,2013/10/22 8:21,,,Y,4
85,700008000,50mg,杭州中美华,片,1.4991,1.4991,1,50mg,片,A,A,A01,A01,C,2013/10/22 8:21,,,Y,4
86,300004300,10ml*6,江西和盈,盒,19.2,19.2,6,10ml,支,A,A,A01,A01,C,2013/10/22 10:28,,,Y,4
87,300004300,10ml,江西和盈,支,3.2,3.2,1,10ml,支,A,A,A01,A01,C,2013/10/22 10:28,,,Y,4
88,1700009800,0.1g*10,上海信谊延,盒,8.27,8.27,10,0.1g,片,A,A,A01,A01,C,2013/10/22 10:29,,,Y,4
89,1700009800,0.1g,上海信谊延,片,0.827,0.827,1,0.1g,片,A,A,A01,A01,C,2013/10/22 10:29,,,Y,4
90,102000800,50mg*12,扬子江江苏,盒,32.17,32.17,12,50mg,片,A,A,A01,A01,C,2013/10/24 13:35,,,Y,4
91,1900050301,1g,安徽省亳州,克,0.076,0.095,1,1g,克,C,C,A03,A03,E,2014/9/11,2014/9/15 16:13,,,4
92,1900050697,1000g,安徽省亳州,千克,40,50,1,1000g,千克,C,C,A03,A03,E,2011/11/6,,,,4
93,1900050697,1g,安徽省亳州,克,0.04,0.05,1,1g,克,C,C,A03,A03,E,2011/11/6,,,,4
94,1900054401,1g,安徽省亳州,克,0.113,0.1413,1,1g,克,C,C,A03,A03,E,2011/4/3 17:00,2014/10/24 16:28,,,4
